Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,32.650002,33.549999,32.000000,32.450001,32.450001,36644500
2021-12-15,32.549999,33.549999,30.150000,30.299999,30.299999,48257400
2021-12-16,30.000000,32.950001,29.900000,32.500000,32.500000,45651560
2021-12-17,33.500000,33.849998,31.950001,33.000000,33.000000,41172880
2021-12-20,34.349998,34.849998,33.799999,34.000000,34.000000,38089880
2021-12-21,33.099998,34.150002,31.650000,31.700001,31.700001,32029380
2021-12-22,31.799999,32.000000,30.500000,30.600000,30.600000,26145280
2021-12-23,30.500000,30.549999,29.500000,29.900000,29.900000,23992620
2021-12-27,29.600000,29.600000,28.400000,28.450001,28.450001,20346000
2021-12-28,28.250000,29.000000,28.150000,28.750000,28.750000,25022360
2021-12-29,28.700001,29.350000,28.450001,28.799999,28.799999,25201460
2021-12-30,28.850000,29.200001,28.350000,29.049999,29.049999,15244660
2021-12-31,29.200001,29.700001,28.900000,29.700001,29.700001,18661100
2022-01-03,29.350000,29.799999,28.700001,28.700001,28.700001,26543320
2022-01-04,28.600000,30.549999,28.600000,29.850000,29.850000,37784700
2022-01-05,30.200001,32.650002,29.950001,32.650002,32.650002,47123580
2022-01-06,33.099998,33.650002,31.799999,32.700001,32.700001,42441520
2022-01-07,32.700001,34.200001,32.200001,33.700001,33.700001,45460320
2022-01-10,35.049999,36.549999,33.500000,33.549999,33.549999,54391020
2022-01-11,33.900002,34.450001,32.099998,32.150002,32.150002,49526740
2022-01-12,31.500000,32.349998,31.049999,31.700001,31.700001,46802620
2022-01-13,31.420000,34.380001,31.240000,34.060001,34.060001,61575300
2022-01-14,34.860001,34.889999,33.400002,33.500000,33.500000,63260600
2022-01-18,35.060001,36.189999,34.490002,35.900002,35.900002,57141200
2022-01-19,35.509998,37.240002,34.759998,37.150002,37.150002,53574300
2022-01-20,36.160000,38.779999,34.910000,38.610001,38.610001,62269100
2022-01-21,39.330002,41.910000,38.450001,41.790001,41.790001,92219600
2022-01-24,43.900002,48.080002,41.000000,41.270000,41.270000,125056600
2022-01-25,43.570000,45.299999,42.040001,44.080002,44.080002,93102000
2022-01-26,41.090000,45.759998,39.570000,44.150002,44.150002,103445200
2022-01-27,42.450001,46.029999,41.750000,45.599998,45.599998,81043500
2022-01-28,44.849998,46.900002,41.250000,41.320000,41.320000,80395100
2022-01-31,40.820000,41.419998,37.150002,37.380001,37.380001,66235200
2022-02-01,36.919998,38.549999,36.369999,36.580002,36.580002,57520200
2022-02-02,35.299999,36.959999,35.220001,35.709999,35.709999,77874200
2022-02-03,38.560001,40.340000,37.599998,39.959999,39.959999,77371600
2022-02-04,39.830002,40.549999,37.330002,38.549999,38.549999,78288600
2022-02-07,38.259998,39.820000,37.490002,39.360001,39.360001,55223300
2022-02-08,39.810001,40.180000,37.700001,38.080002,38.080002,68665200
2022-02-09,36.599998,37.119999,35.630001,35.660000,35.660000,63969800
2022-02-10,37.750000,38.610001,35.720001,38.029999,38.029999,122311700
2022-02-11,38.060001,42.080002,37.529999,41.619999,41.619999,117986400
2022-02-14,41.919998,42.830002,40.279999,41.520000,41.520000,110240100
2022-02-15,39.599998,39.990002,38.360001,38.450001,38.450001,81431800
2022-02-16,39.150002,40.200001,38.130001,38.480000,38.480000,80272500
2022-02-17,39.549999,42.040001,39.310001,41.889999,41.889999,78147400
2022-02-18,41.549999,44.200001,41.410000,43.290001,43.290001,117893400
2022-02-22,44.490002,46.070000,42.369999,44.599998,44.599998,112824300
2022-02-23,43.369999,48.189999,43.020000,48.009998,48.009998,105118500
